iter	Passed	Remaining
0	53	53475
1	110	54987
2	173	57766
3	227	56757
4	270	53835
5	314	52083
6	360	51072
7	398	49460
8	451	49703
9	502	49735
10	550	49480
11	598	49273
12	653	49600
13	703	49572
14	755	49586
15	797	49029
16	858	49628
17	1283	70020
18	1328	68600
19	1367	67007
20	1410	65734
21	1451	64520
22	1506	63986
23	1554	63210
24	1595	62219
25	1639	61423
26	1689	60870
27	1736	60287
28	1780	59608
29	1828	59105
30	1900	59415
31	2036	61599
32	2222	65112
33	2275	64640
34	2343	64624
35	2399	64257
36	2463	64121
37	2517	63721
38	2568	63286
39	2628	63092
40	2676	62600
41	2734	62381
42	2782	61921
43	2832	61541
44	2879	61113
45	2929	60752
46	2973	60294
47	3014	59787
48	3054	59291
49	3104	58989
50	3150	58620
51	3191	58182
52	3230	57717
53	3270	57297
54	3310	56875
55	3350	56483
56	3392	56130
57	3430	55718
58	3475	55427
59	3520	55159
60	3564	54866
61	3609	54609
62	3662	54477
63	3706	54213
64	3751	53961
65	3797	53740
66	3837	53439
67	4309	59070
68	4370	58976
69	4413	58634
70	4464	58422
71	4506	58083
72	4549	57772
73	4592	57468
74	4643	57271
75	4688	57003
76	4732	56727
77	4775	56449
78	4828	56294
79	4899	56344
80	5032	57094
81	5113	57244
82	5172	57142
83	5239	57131
84	5314	57213
85	5373	57106
86	5429	56982
87	5487	56867
88	5542	56736
89	5593	56559
90	5649	56430
91	5702	56278
92	5755	56132
93	5802	55924
94	5848	55717
95	5898	55543
96	5943	55328
97	5985	55088
98	6040	54976
99	6080	54727
100	6121	54485
101	6169	54319
102	6209	54078
103	6249	53845
104	6299	53697
105	6341	53484
106	6379	53246
107	6419	53021
108	6459	52801
109	6499	52584
110	6542	52395
111	6589	52246
112	6628	52032
113	6670	51839
114	6724	51748
115	6767	51572
116	6814	51429
117	7411	55394
118	7455	55198
119	7502	55017
120	7546	54818
121	7594	54657
122	7637	54454
123	7693	54349
124	7740	54183
125	7782	53982
126	7826	53797
127	7954	54190
128	8024	54183
129	8084	54105
130	8152	54081
131	8207	53969
132	8259	53843
133	8306	53682
134	8356	53541
135	8411	53439
136	8468	53342
137	8519	53217
138	8571	53092
139	8621	52960
140	8676	52859
141	8729	52746
142	8778	52606
143	8819	52427
144	8860	52243
145	8900	52062
146	8950	51936
147	8991	51760
148	9023	51537
149	9063	51359
150	9106	51203
151	9148	51038
152	9191	50883
153	9234	50731
154	9270	50539
155	9312	50385
156	9356	50241
157	9400	50097
158	9442	49945
159	9493	49841
160	9534	49687
161	9577	49541
162	9623	49416
163	9666	49275
164	9708	49132
165	9751	48993
166	9794	48853
167	9857	48819
168	9994	49143
169	10115	49388
170	10244	49664
171	10361	49880
172	10427	49849
173	10469	49699
174	10524	49614
175	10577	49524
176	10638	49467
177	10695	49393
178	10749	49305
179	10936	49822
180	11016	49848
181	11113	49951
182	11175	49891
183	11230	49807
184	11280	49695
185	11342	49640
